,species_idx,mass_frequency,lambda_inst_nut,lambda_max_nut,delta
99999,69,0.0,0.08090182942920705,1.0521554827975637,0.05
99999,70,0.0,0.08106065919016646,1.0542211172214564,0.05
99999,71,0.0,0.08109870271327643,1.0547158860259136,0.05
99999,72,0.0,0.08125569566761377,1.0567576321623364,0.05
99999,73,0.0,0.08145458425696939,1.059344245113277,0.05
99999,74,0.0,0.08145819606492143,1.0593912178896205,0.05
99999,75,0.0,0.08150746535389826,1.0600319815521515,0.05
99999,76,0.0,0.08153497910736213,1.06038980716331,0.05
99999,77,0.0,0.08160454292590182,1.0612945080037888,0.05
99999,78,0.0,0.08254559360714293,1.0735331884000663,0.05
99999,79,0.0,0.08282979260773568,1.077229291921939,0.05
99999,80,0.0,0.0828516469113614,1.077513514485814,0.05
99999,81,0.0,0.08310569763898928,1.0808175295849567,0.05
99999,82,0.0,0.08343575636726981,1.0851100542788443,0.05
99999,83,0.0,0.08404715367840214,1.0930614818004984,0.05
99999,84,0.0,0.08447812764388224,1.098666443071735,0.05
99999,85,0.0,0.08460260150697055,1.1002852674968113,0.05
99999,86,0.0,0.08546903288645898,1.1115534987942792,0.05
99999,87,0.0,0.08548160837207276,1.111717047211302,0.05
99999,88,0.0,0.08651630000534719,1.1251735596614572,0.05
99999,89,0.0,0.08710963902964872,1.1328901330934942,0.05
99999,90,0.0,0.08762638675328867,1.1396106109181237,0.05
99999,91,0.0,0.08765477081931164,1.1399797552366249,0.05
99999,92,0.0,0.08855394696436762,1.151673843215801,0.05
99999,93,0.0,0.08907134862692745,1.1584028257358718,0.05
99999,94,0.0,0.08916753799682091,1.1596538008205428,0.05
99999,95,0.0,0.08981110739135026,1.168023637099799,0.05
99999,96,0.0,0.09102757578956842,1.1838442174731414,0.05
99999,97,0.0,0.09306625599342182,1.2103579387238108,0.05
99999,98,0.0,0.09328391717008432,1.2131886954821363,0.05
99999,99,0.0,0.09360699695773776,1.2173904567075495,0.05
99999,100,0.0,0.099958969921753,1.3,0.05
99999,1,1.0,0.061631395464385084,0.7863133743598113,0.051170568561872916
99999,2,0.0,0.06413942473690329,0.8183116269615488,0.051170568561872916
99999,3,0.0,0.06431359688573152,0.8205337718445697,0.051170568561872916
99999,4,0.0,0.06474535654304307,0.8260423018801955,0.051170568561872916
99999,5,0.0,0.06486876216637014,0.8276167509310749,0.051170568561872916
99999,6,0.0,0.06514066753555804,0.8310858080040442,0.051170568561872916
99999,7,0.0,0.0651699092862398,0.8314588837632008,0.051170568561872916
99999,8,0.0,0.06630025022034597,0.8458801407764004,0.051170568561872916
99999,9,0.0,0.06672227650502303,0.8512644892804793,0.051170568561872916
99999,10,0.0,0.06717967292749713,0.8571001014983392,0.051170568561872916
99999,11,0.0,0.06799960403997886,0.8675610491199238,0.051170568561872916
99999,12,0.0,0.0680678006357455,0.8684311234535174,0.051170568561872916
99999,13,0.0,0.06821196592071198,0.8702704310147593,0.051170568561872916
99999,14,0.0,0.06828482300251601,0.8711999653439381,0.051170568561872916
99999,15,0.0,0.0685416205720411,0.8744762721985729,0.051170568561872916
99999,16,0.0,0.06879319521695375,0.877685943283482,0.051170568561872916
